,date,MODE,RIDERSHIP,COUNTOFDATES,AVG_RIDERSHIP,ROUTE_OR_LINE
3,2018-11-01,Rail,3291645.9705042997,21,156745.04621449,Green Line
4,2018-11-01,Rail,4337261.4559046,21,206536.25980498,Orange Line
5,2018-11-01,Rail,5192215.0108829,21,247248.33385157,Red Line
0,2018-01-01,Bus,6788939.0,21,323282.80952381,Bus
1,2018-01-01,Bus,635182.0,21,30246.761904762003,Silver Line
2,2018-01-01,Rail,1323203.9739732,21,63009.713046344004,Blue Line
3,2018-01-01,Rail,3141135.9373199,21,149577.90177714,Green Line
4,2018-01-01,Rail,3987313.4276043,21,189872.06798116,Orange Line
5,2018-01-01,Rail,4696089.5790313,21,223623.31328720003,Red Line
0,2019-05-01,Bus,7899993.0,22,359090.59090909,Bus
1,2019-05-01,Bus,865206.0,22,39327.545454545,Silver Line
2,2019-05-01,Rail,1661778.4794796002,22,75535.385430892,Blue Line
3,2019-05-01,Rail,3311065.6016364,22,150502.98189256,Green Line
4,2019-05-01,Rail,4654258.0741672,22,211557.18518942,Orange Line
5,2019-05-01,Rail,5524358.568308401,22,251107.20765038,Red Line
0,2016-12-01,Bus,7119231.0,21,339011.0,Bus
1,2016-12-01,Bus,666184.0,21,31723.047619047997,Silver Line
2,2016-12-01,Rail,1399861.3674767,21,66660.065117936,Blue Line
3,2016-12-01,Rail,3497594.2688852996,21,166552.10804216,Green Line
4,2016-12-01,Rail,4145175.3972881003,21,197389.30463277,Orange Line
5,2016-12-01,Rail,4944886.4742658,21,235470.78448885,Red Line
0,2016-02-01,Bus,7469019.0,20,373450.95,Bus
1,2016-02-01,Bus,730265.0,20,36513.25,Silver Line
2,2016-02-01,Rail,1220639.235535,20,61031.961776748,Blue Line
3,2016-02-01,Rail,3752288.5365029,20,187614.42682514,Green Line
4,2016-02-01,Rail,4379649.0899268,20,218982.45449634,Orange Line
5,2016-02-01,Rail,5132032.1399213,20,256601.60699607,Red Line
0,2018-04-01,Bus,7152514.0,21,340595.9047619,Bus
1,2018-04-01,Bus,745154.0,21,35483.523809524,Silver Line
2,2018-04-01,Rail,1546643.1379276002,21,73649.67323465,Blue Line
3,2018-04-01,Rail,3690104.1599323996,21,175719.24571107,Green Line
4,2018-04-01,Rail,4462364.9093559,21,212493.56711218,Orange Line
5,2018-04-01,Rail,5312420.9164915,21,252972.42459483,Red Line
0,2017-09-01,Bus,7348656.0,20,367432.8,Bus
1,2017-09-01,Bus,663795.0,20,33189.75,Silver Line
2,2017-09-01,Rail,1555248.9886791,20,77762.44943395599,Blue Line
3,2017-09-01,Rail,3789136.0009307,20,189456.80004653,Green Line
4,2017-09-01,Rail,4447504.5798525,20,222375.22899262,Orange Line
5,2017-09-01,Rail,5409746.173816401,20,270487.30869082,Red Line
0,2017-08-01,Bus,7518350.0,23,326884.7826087,Bus
1,2017-08-01,Bus,788707.0,23,34291.608695652,Silver Line
2,2017-08-01,Rail,1717781.6276623998,23,74686.15772445401,Blue Line
3,2017-08-01,Rail,3781642.1039048997,23,164419.22190891,Green Line
4,2017-08-01,Rail,4624184.168097099,23,201051.48556944,Orange Line
5,2017-08-01,Rail,5786162.9799888,23,251572.30347778,Red Line
0,2017-10-01,Bus,7990183.0,22,363190.13636364,Bus
1,2017-10-01,Bus,747703.0,22,33986.5,Silver Line
2,2017-10-01,Rail,1686438.9806098,22,76656.317300446,Blue Line
3,2017-10-01,Rail,3976259.3241722,22,180739.06018964,Green Line
4,2017-10-01,Rail,4872726.016454901,22,221487.5462025,Orange Line
5,2017-10-01,Rail,5898600.7122378,22,268118.21419263,Red Line
0,2016-03-01,Bus,8679363.0,23,377363.60869565,Bus
1,2016-03-01,Bus,901662.0,23,39202.695652174,Silver Line
2,2016-03-01,Rail,1510118.4141304,23,65657.322353494,Blue Line
3,2016-03-01,Rail,4387767.8074969,23,190772.51336943,Green Line
4,2016-03-01,Rail,5121815.808271,23,222687.64383787,Orange Line
5,2016-03-01,Rail,6047058.2463706,23,262915.57592916,Red Line
